Time Agent Velocity distanceToNearestPerson distanceToNearestObstacle
12.201 12 0.37092 3.18265 2.51048
12.201 13 0.555684 1.5926 2.6
12.201 14 0.675458 1.77886 1.7
12.201 15 0.101187 1.47951 1.85809
12.201 16 0.17025 1.5926 1.35
12.201 17 0.71875 3.82936 0.9
12.201 18 0.552576 3.22453 1.92354
12.201 19 0.239678 1.47951 1.52315
12.201 20 0.641408 2.58512 1.76777
13.2436 0 0 2.34347 3.04056
13.2436 1 0.369569 2.31652 2.3
13.2436 2 0.20789 1.80346 2.94491
13.2436 3 0.53234 1.80346 2.10297
13.2436 4 0.625899 0.917717 2.5
13.2436 5 0.244148 0.917717 1.6
13.2436 6 0.603514 2.0685 1.99812
13.2436 7 0.520185 1.75074 1.30863
13.2436 8 0.403719 2.68874 2.83019
13.2436 9 0.532097 1.7609 2.05
13.2436 10 0.088373 1.75074 2.05973
13.2436 11 0.530608 2.57348 1.25
13.2436 12 0.549709 3.3261 2.54018
13.2436 13 0.476873 1.69611 2.3
13.2436 14 0.669072 1.7609 2.3
13.2436 15 0.241625 1.36232 1.91377
13.2436 16 0.10329 1.70604 1.4
13.2436 17 0.924473 3.41962 1.35
13.2436 18 0.637683 3.55661 1.60078
13.2436 19 0.279501 1.36232 1.52643
13.2436 20 0.424065 1.69611 2.01122
14.2518 0 0.35 2.33326 3.04056
14.2518 1 0.47543 2.28527 2.5005
14.2518 2 0.075142 1.61855 2.92062
14.2518 3 0.566846 1.61855 1.72192
14.2518 4 0.503609 0.855246 2.4
14.2518 5 0.312411 0.855246 1.75
14.2518 6 0.550183 2.28527 1.43003
14.2518 7 0.444447 1.23666 1.49833
14.2518 8 0.176508 3.26605 2.65
14.2518 9 0.677149 2.53572 1.65
14.2518 10 0.27973 1.23666 2.03961
14.2518 11 0.279907 2.83948 1.25
14.2518 12 0.687382 3.28522 2.6613
14.2518 13 0.331446 1.18314 2.05548
14.2518 14 0.676406 2.53572 2.38799
14.2518 15 0.46366 1.41963 1.83439
14.2518 16 0.26936 1.80326 1.5
14.2518 17 0.927963 2.78192 1.75
14.2518 18 0.709834 3.26449 1.52315
14.2518 19 0.448574 1.41963 1.73566
14.2518 20 0.180372 1.18314 2.23886
15.2552 0 0.6 2.08961 2.70185
15.2552 1 0.594407 2.15499 2.15407
15.2552 2 0.257604 1.51802 2.79866
15.2552 3 0.218088 1.51802 1.44222
15.2552 4 0.355806 1.0607 2.2
15.2552 5 0.398157 1.0607 2.1
15.2552 6 0.34452 2.15499 0.986154
15.2552 7 0.384507 0.921352 1.73925
15.2552 8 0.222239 2.79884 2.7
15.2552 9 0.437919 3.22248 1.3
15.2552 10 0.408207 0.921352 2.04267
15.2552 11 0.345717 2.37363 1.55724
15.2552 12 0.792222 2.96626 2.35
15.2552 13 0.186285 1.01411 1.87417
15.2552 14 0.645756 2.09795 1.77341
15.2552 15 0.581484 1.85623 1.7
15.2552 16 0.463174 1.80714 1.65
15.2552 17 0.885035 2.09795 2.2
15.2552 18 0.56347 2.57744 1.87216
15.2552 19 0.612184 1.85623 2.22767
15.2552 20 0.0547912 1.01411 2.30705
16.2832 0 0.6 1.85687 2.11009
16.2832 1 0.699808 2.11501 2.04022
16.2832 2 0.431578 1.37264 2.72259
16.2832 3 0.0345056 1.37264 1.36015
16.2832 4 0.273076 1.33792 1.95064
16.2832 5 0.313578 1.33792 2.5005
16.2832 6 0.52073 2.11501 1.1068
16.2832 7 0.359737 0.894265 2.05
16.2832 8 0.326076 2.24273 2.95
16.2832 9 0.263771 2.97619 1.3
16.2832 10 0.495918 0.894265 2.28965
16.2832 11 0.445592 1.85687 1.95256
16.2832 12 0.629683 2.78011 1.85
16.2832 13 0.0798273 0.945878 1.8554
16.2832 14 0.529807 1.48509 1.18849
16.2832 15 0.590105 1.87775 1.63783
16.2832 16 0.511117 1.67261 1.75
16.2832 17 0.770511 1.48509 2.45
16.2832 18 0.439369 2.64242 2.34307
16.2832 19 0.527598 2.69452 2.79866
16.2832 20 0.154973 0.945878 2.28965
17.2967 0 0.6 1.1229 1.5
17.2967 1 0.327391 2.39221 2.15697
17.2967 2 0.556052 1.22448 2.63486
17.2967 3 0.177992 1.22448 1.4151
17.2967 4 0.315402 1.57399 1.7
17.2967 5 0.153977 1.57399 2.65
17.2967 6 0.628439 2.21343 1.66208
17.2967 7 0.191701 1.19261 2.19659
17.2967 8 0.361087 1.71195 2.83196
17.2967 9 0.349056 2.21343 1.6
17.2967 10 0.579694 1.19261 2.73222
17.2967 11 0.528648 1.79352 2.00062
17.2967 12 0.531254 2.63741 1.7
17.2967 13 0.272319 1.01806 2.00125
17.2967 14 0.45206 1.00029 1.00125
17.2967 15 0.576446 1.1229 1.72192
17.2967 16 0.420767 1.73923 2
17.2967 17 0.590962 1.00029 1.98116
17.2967 18 0.428774 2.90177 2.75
17.2967 19 0.308747 3.60815 3.04138
17.2967 20 0.373284 1.01806 2.08087
18.3286 0 0.2 1.16131 0.939415
18.3286 1 0.0554822 2.71321 2.26716
18.3286 2 0.344866 1.10651 2.72809
18.3286 3 0.238516 1.10651 1.63248
18.3286 4 0.426726 1.53172 1.5
18.3286 5 0.347277 1.36177 2.55
18.3286 6 0.655437 1.51619 2.30868
18.3286 7 0.208666 1.78039 2.12897
18.3286 8 0.393284 1.36177 2.54951
18.3286 9 0.542191 1.51619 2
18.3286 10 0.618179 1.78039 2.58118
18.3286 11 0.593216 2.05382 1.57877
18.3286 12 0.503399 2.46053 1.8
18.3286 13 0.444747 1.43811 2.4026
18.3286 14 0.680376 0.903724 1.40089
18.3286 15 0.312821 1.16131 1.80624
18.3286 16 0.422966 1.5562 2.4
18.3286 17 0.416276 0.903724 1.55081
18.3286 18 0.498943 2.91299 2.45
18.3286 19 0.279534 4.35212 2.85
18.3286 20 0.471801 1.43811 1.69853
19.358 0 0.4 1.23012 0.96566
19.358 1 0.249679 3.03553 2.26274
19.358 2 0.24429 0.99646 2.78568
19.358 3 0.238947 0.99646 1.85607
19.358 4 0.440254 1.34451 1.4
19.358 5 0.638234 1.32132 2.25056
19.358 6 0.659349 1.45197 2.2
19.358 7 0.417278 2.28799 2.15232
19.358 8 0.400567 1.32132 2.41299
19.358 9 0.683409 1.45197 2.55
19.358 10 0.589643 2.28799 2.22036
19.358 11 0.630452 2.26745 1.45344
19.358 12 0.524009 2.33624 2.1
19.358 13 0.485429 1.34379 2.5
19.358 14 0.799949 1.53459 2.09881
19.358 15 0.0712207 1.23012 1.76777
19.358 16 0.468403 1.34379 2.85
19.358 17 0.306469 1.53459 1.18849
19.358 18 0.586348 3.13837 2
19.358 19 0.400019 4.3381 2.65
19.358 20 0.47501 1.95429 1.20208
20.3867 0 0.6 1.52344 1.40357
20.3867 1 0.450784 3.2861 2.20227
20.3867 2 0.202713 0.920517 2.65
20.3867 3 0.273451 0.920517 2.07966
20.3867 4 0.504776 1.26266 1.25
20.3867 5 0.678209 1.26266 1.8
20.3867 6 0.623225 2.09191 1.65
20.3867 7 0.565353 2.4775 1.75
20.3867 8 0.414523 1.72566 2.46221
20.3867 9 0.795924 2.09191 2.96985
20.3867 10 0.492762 2.4775 1.78885
20.3867 11 0.624597 2.18098 1.77341
20.3867 12 0.585445 2.18451 2.6
20.3867 13 0.354246 1.39774 2.2
